[tale] 2018-06-30 18:41:32,375 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 11 functions from class jetbrick.template.runtime.buildin.JetFunctions
[tale] 2018-06-30 18:41:32,376 INFO  [main] jetbrick.template.resolver.tag.TagInvokerResolver | import 2 tags from class jetbrick.template.runtime.buildin.JetTags
[tale] 2018-06-30 18:41:32,383 INFO  [main] jetbrick.template.JetTemplateImpl | Loading template: /comm/macros.html
[tale] 2018-06-30 18:41:32,476 INFO  [main] jetbrick.template.JetTemplateImpl | Loading template: /themes/theme_greyshade/macros.html
[tale] 2018-06-30 18:41:32,480 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 19 functions from class com.tale.ext.Commons
[tale] 2018-06-30 18:41:32,481 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 47 functions from class com.tale.ext.Theme
[tale] 2018-06-30 18:41:32,482 INFO  [main] jetbrick.template.resolver.function.FunctionInvokerResolver | import 2 functions from class com.tale.ext.AdminCommons
[tale] 2018-06-30 18:41:32,482 INFO  [main] jetbrick.template.resolver.tag.TagInvokerResolver | import 1 tags from class com.tale.ext.JetTag
[tale] 2018-06-30 18:41:32,511 DEBUG [main] org.sql2o.Query | Executing query:
select description,name,value from t_options order by name desc
[tale] 2018-06-30 18:41:32,523 DEBUG [main] org.sql2o.Query | total: 12 ms, execution: 4 ms, reading and parsing: 8 ms; executed [null]
[tale] 2018-06-30 18:41:32,557 INFO  [main] com.blade.mvc.dispatch.AbsDispatcherServlet | init worker thread pool.
[tale] 2018-06-30 18:41:32,558 INFO  [main] org.eclipse.jetty.server.handler.ContextHandler | Started o.e.j.w.WebAppContext@37883b97{/,jar:file:/E:/SecureCRTDownload/tale/tale-1.2.15.jar!/,AVAILABLE}
[tale] 2018-06-30 18:42:11,932 INFO  [main] com.blade.embedd.EmbedJettyServer | add classpath: /E:/SecureCRTDownload/tale/resources/
[tale] 2018-06-30 18:42:11,943 INFO  [main] org.eclipse.jetty.util.log | Logging initialized @310ms to org.eclipse.jetty.util.log.Slf4jLog
[tale] 2018-06-30 18:42:12,103 INFO  [main] com.blade.embedd.EmbedJettyServer | add classpath : /E:/SecureCRTDownload/tale/resources/
